Media Market,Market State,dma,Total Airings 9Apr20 to 25Oct20,Est. Cost 9Apr20 to 25Oct29,Pro-Biden Airings 9Apr20 to 25Oct20,Pro-Trump Airings 9Apr20 to 25Oct20,Biden Ad Adv 9Apr20 to 25Oct20,Total Airings 12Oct20 to 25Oct20,Est. Cost 12Oct20 to 25Oct20,Pro-Biden Airings 12Oct20 to 25Oct20,Pro-Trump Airings 12Oct20 to 25Oct20,Biden Ad Adv 12Oct20 to 25Oct20
SIOUX FALLS,SD,725,142," $8,620 ",5,137,-132,11, $760 ,5,6,-1
SOUTH BEND,IN,588,"3,756"," $505,280 ","3,713",43,"3,670",594," $108,680 ",593,1,592
SPOKANE,WA,881,119," $6,060 ",58,61,-3,62," $2,540 ",56,6,50
"SPRINGFIELD, MA",MA,543,22," $1,340 ",20,2,18,22," $1,340 ",20,2,18
"SPRINGFIELD, MO",MO,619,23, $850 ,21,2,19,23, $850 ,21,2,19
ST LOUIS,MO,609,294," $67,600 ",84,210,-126,95," $8,120 ",84,11,73
ST. JOSEPH,MO,638,11, $550 ,11,0,11,11, $550 ,11,0,11
SYRACUSE,NY,555,117," $2,350 ",70,47,23,71," $1,970 ",69,2,67
TALLAHASSEE,FL,530,"11,015"," $1,856,890 ","10,670",345,"10,325","3,161"," $642,610 ","3,064",97,"2,967"
TAMPA,FL,539,"47,659"," $42,478,880 ","29,519","18,140","11,379","8,618"," $10,034,510 ","6,511","2,107","4,404"
TERRE HAUTE,IN,581,4, $330 ,4,0,4,4, $330 ,4,0,4
TOLEDO,OH,547,"4,204"," $1,126,350 ","3,091","1,113","1,978",469," $150,860 ",464,5,459
TOPEKA,KS,605,16," $1,360 ",14,2,12,16," $1,360 ",14,2,12
TRAVERSE CITY,MI,540,"17,207"," $4,486,800 ","12,577","4,630","7,947","2,964"," $867,650 ","2,153",811,"1,342"
TRI-CITIES,TN,531,12, $750 ,11,1,10,12, $750 ,11,1,10
TUCSON,AZ,789,"34,411"," $12,951,510 ","19,976","14,435","5,541","6,569"," $2,733,210 ","4,724","1,845","2,879"
TULSA,OK,671,260," $54,890 ",160,100,60,107," $6,020 ",99,8,91
TWIN FALLS,ID,760,35," $2,500 ",28,7,21,33," $2,000 ",26,7,19
TYLER,TX,709,28," $1,980 ",24,4,20,26," $1,820 ",24,2,22
UTICA,NY,526,13, $410 ,11,2,9,13, $410 ,11,2,9
VICTORIA,TX,626,22, $990 ,19,3,16,21, $970 ,19,2,17
WACO,TX,625,37," $7,040 ",24,13,11,26," $6,010 ",24,2,22
WASHINGTON DC,DC,511,972," $987,150 ",962,10,952,599," $169,290 ",594,5,589
WATERTOWN,NY,549,13, $510 ,10,3,7,13, $510 ,10,3,7
WAUSAU,WI,705,"16,844"," $10,206,120 ","9,089","7,755","1,334","2,326"," $1,771,430 ","1,207","1,119",88
WEST PALM BEACH,FL,548,"22,213"," $12,990,280 ","12,737","9,476","3,261","5,647"," $4,175,490 ","3,610","2,037","1,573"
WHEELING-STEUBENVILLE,WV,554,23," $15,030 ",14,9,5,4, $170 ,4,0,4
WICHITA,KS,678,79," $4,850 ",43,36,7,45," $1,400 ",43,2,41
WICHITA FALLS,TX,627,15," $2,080 ",14,1,13,14," $2,040 ",13,1,12
WILKES BARRE,PA,577,"30,154"," $16,043,650 ","18,005","12,149","5,856","4,947"," $4,365,180 ","3,347","1,600","1,747"
WILMINGTON,NC,550,"12,295"," $2,570,680 ","6,048","6,247",-199,"1,471"," $428,250 ",788,683,105
YAKIMA,WA,810,130," $5,000 ",27,103,-76,33, $870 ,27,6,21
YOUNGSTOWN,OH,536,"3,124"," $680,170 ","3,067",57,"3,010",608," $149,840 ",606,2,604
YUMA-EL CENTRO,AZ,771,"7,047"," $1,053,230 ","6,541",506,"6,035","1,774"," $184,540 ","1,766",8,"1,758"
ZANESVILLE,OH,596,54," $11,760 ",53,1,52,3, $230 ,2,1,1
